stasjonsID;stasjonsnavn;lengdegrad;breddegrad;temperatur_degC;temperaturnormal_degC;temperaturavvik_degC;nedbor_mm;nedbornormal_mm;nedbor_prosent_av_normal
SN100;Plassen;12.50390;61.13490;;;;107.6;106.0;101.5
SN10300;Håsjøen;11.77520;62.46980;;;;94.5;75.0;126.0
SN10380;Røros;11.34870;62.57810;10.4;11.0;-0.6;80.9;81.0;99.9
SN10600;Aursund;11.45501;62.67401;;;;103.6;87.0;119.1
SN1070;HVALER;11.03215;59.04188;16.4;17.0;-0.6;87.0;;
SN10800;Sølendet;11.81530;62.67930;9.7;10.6;-0.9;97.7;81.0;120.6
SN11500;Apelsvoll;10.86950;60.70020;14.5;14.7;-0.2;54.8;80.0;68.5
SN11710;Einavatn;10.64080;60.59505;;;;59.1;89.0;66.4
SN11900;Biri;10.59540;60.95180;;;;102.9;103.0;99.9
SN12180;Ilseng;11.20280;60.80280;14.5;14.8;-0.3;55.4;;
SN12290;Hamar (Disen);11.09480;60.80056;15.2;15.5;-0.3;37.7;72.0;52.4
SN1230;Halden;11.38800;59.12230;;;;84.3;95.0;88.7
SN12320;Hamar − Stavsberg;11.06970;60.81800;15.0;15.1;-0.1;59.9;77.0;77.8
SN12550;Kise på Hedmark;10.80550;60.77330;15.0;15.2;-0.2;61.3;84.0;73.0
SN12600;Vea;10.67905;60.95295;;;;81.7;86.0;95.0
SN12648;Rådhuset ;10.46750;61.11450;15.0;15.6;-0.6;101.3;;
SN12680;Sæterengen;10.47620;61.09170;13.9;14.5;-0.6;92.8;96.0;96.7
SN12700;Vårsætergrenda ;10.51120;61.10400;13.0;13.6;-0.6;;;
SN12710;Nordsetervegen ;10.51430;61.14310;12.3;12.9;-0.6;104.2;;
SN12960;Sjusjøen;10.70880;61.16380;10.0;;;159.7;138.0;115.7
SN12980;Bjørnerud ;10.45480;61.14780;13.6;14.5;-0.9;112.1;;
SN13030;Follebu;10.26141;61.22651;12.8;13.3;-0.5;95.0;;
SN13060;Gausdal;10.17377;61.27285;;;;102.1;116.0;88.0
SN13150;Fåvang;10.18720;61.45820;13.9;13.7;0.2;75.1;102.0;73.6
SN13160;Kvitfjell;10.12662;61.46474;9.2;9.5;-0.3;;;
SN13420;Venabu;10.10820;61.65130;9.5;10.0;-0.5;113.0;103.0;109.7
SN13655;Skåbu;9.40209;61.53098;9.8;10.2;-0.4;78.9;87.0;90.7
SN1400;Brekke sluse;11.55830;59.14770;;;;73.0;99.0;73.7
SN14200;Leirflaten;9.15424;61.72459;10.9;11.2;-0.3;75.7;;
SN14550;Preststulen;9.00840;61.92250;;;;60.3;72.0;83.7
SN14711;Grov;9.01104;61.81301;;;;60.5;72.0;84.0
SN15262;Juvflye;8.36850;61.67400;3.8;4.8;-1.0;;;
SN15270;Juvvasshøe;8.36900;61.67750;3.4;4.3;-0.9;;;
SN15430;Bøverdal;8.24230;61.71950;10.0;10.3;-0.3;50.4;59.0;85.4
SN15480;Skjåk (Øygarden);8.46720;61.87770;;;;57.0;45.0;126.7
SN15660;Skjåk (Austin);8.17060;61.90130;;;;59.8;49.0;122.0
SN15890;Grotli;7.66374;62.01647;9.0;10.1;-1.1;63.5;57.0;111.4
SN16040;Otta;9.54130;61.77820;13.7;14.0;-0.3;65.2;;
SN16271;Høvringen;9.47980;61.88830;9.2;10.0;-0.8;81.8;80.0;102.2
SN16400;Lannem;9.21430;62.01720;11.8;12.4;-0.6;59.8;61.0;98.0
SN1650;Strømsfoss;11.65990;59.30060;;;;96.3;97.0;99.3
SN16560;Dombås;9.11470;62.07165;11.3;11.9;-0.6;53.7;64.0;83.9
SN16610;Fokstugu;9.28620;62.11330;9.1;9.9;-0.8;76.4;69.0;110.7
SN17000;Strømtangen;10.82830;59.15155;16.9;17.3;-0.4;58.4;86.0;67.9
SN17050;Tomb;10.81450;59.31880;15.7;16.1;-0.4;81.2;;
SN17150;Rygge;10.79800;59.37420;16.2;16.3;-0.1;60.2;97.0;62.1
SN17251;Moss;10.68360;59.44254;;;;75.0;92.0;81.5
SN17280;Gullholmen;10.57800;59.43520;16.9;17.1;-0.2;;;
SN17380;Huggenes;10.75430;59.39800;16.0;16.2;-0.2;73.2;93.0;78.7
SN17775;Fagerstrand ;10.58860;59.73770;;;;54.9;91.0;60.3
SN17780;Blekslitjern;10.63080;59.80950;;;;67.9;80.0;84.9
SN17810;Tangenåsen;10.66220;59.85530;;;;71.3;81.0;88.0
SN17850;Ås;10.78180;59.66050;15.6;15.7;-0.1;61.4;96.0;64.0
SN17870;Rustadskogen;10.81040;59.67040;15.1;15.2;-0.1;57.6;103.0;55.9
SN180;Trysil Mosanden;12.27583;61.29557;13.1;13.1;0.0;128.9;104.0;123.9
SN18020;Lambertseter;10.81850;59.87750;;;;80.8;99.0;81.6
SN18165;Ryen;10.80130;59.89630;;;;76.5;87.0;87.9
SN18180;Trasop;10.84700;59.90700;;;;75.9;94.0;80.7
SN18195;Høyenhall;10.82120;59.90330;;;;82.4;96.0;85.8
SN18205;Løren ;10.79020;59.92870;;;;72.1;94.0;76.7
SN18210;Hovin;10.80400;59.92300;16.5;16.9;-0.4;77.2;108.0;71.5
SN18215;Brobekk;10.83150;59.93230;;;;75.1;89.0;84.4
